*long_scan_new.dat
***
*  !!! use scan normalization of the foil thickness
***
* run   - run/chain number
* TGT   - target number
* BOP   - BOP current, Amp
* MEAN1 - IPOL=1(a_asym.f), -2.0<APOS(a_tpos.f)<0
* MEAN2 - IPOL=1,  0(1 for TGT4))<APOS<2.5
* MEAN3 - IPOL=2, -2.0<APOS<0
* MEAN4 - IPOL=2,  0(1 for TGT4))<APOS<2.5
* ER    - errors
* RAT1  - (MEAN1-MEAN2)/sqrt(ER1**2+ER2**2)
* RAT2  - (MEAN3-MEAN4)/sqrt(ER3**2+ER4**2)
*
*run  TGT BOP     MEAN1          ER1         MEAN2          ER2        MEAN3      ER3         MEAN4      ER4         RAT1      RAT2   
*** 
12087  2  8.0   0.49759E-01  0.12375E-03   0.49529E-01  0.11345E-03   0.84637  0.20899E-02   0.84563  0.19466E-02   1.36999   0.25910
***
12079  3  8.0   0.45733E-01  0.13777E-03   0.45386E-01  0.13020E-03   0.87311  0.26873E-02   0.81031  0.23838E-02   1.83056  17.48220
***
12001  4  4.0  -0.40898E-01  0.27669E-03  -0.39759E-01  0.28743E-03  -0.83845  0.56137E-02  -0.84237  0.60930E-02  -2.85488   0.47315
12002  4  4.0  -0.40935E-01  0.19919E-03  -0.39430E-01  0.23344E-03  -0.83517  0.40966E-02  -0.83810  0.49504E-02  -4.90431   0.45599
* chain1=12001+12002-->120030.759779
12003  4  4.0  -0.40937E-01  0.16110E-03  -0.39538E-01  0.18189E-03  -0.83553  0.33059E-02  -0.83937  0.38230E-02  -5.75777   0.75978
12291  4  4.0  -0.40591E-01  0.14694E-03  -0.39197E-01  0.15765E-03  -0.82876  0.30108E-02  -0.83018  0.33455E-02  -6.46835   0.31549
12292  4  4.0  -0.40267E-01  0.16970E-03  -0.39280E-01  0.17013E-03  -0.82523  0.34668E-02  -0.83274  0.35952E-02  -4.10743   1.50368
* chain2=12291+12292-->12293
12293  4  4.0  -0.40376E-01  0.11038E-03  -0.39210E-01  0.11401E-03  -0.82662  0.22545E-02  -0.83218  0.24469E-02  -7.34774   1.67110
12351  4  4.0  -0.41648E-01  0.18921E-03  -0.40334E-01  0.23481E-03  -0.85105  0.38411E-02  -0.85611  0.49958E-02  -4.35739   0.80295
12078  4  8.0   0.44833E-01  0.19157E-03   0.43975E-01  0.22149E-03   0.84567  0.36389E-02   0.84087  0.43042E-02   2.92990   0.85162  
12349  4  8.0  -0.45553E-01  0.17466E-03  -0.44901E-01  0.22692E-03  -0.85503  0.33032E-02  -0.85655  0.42803E-02  -2.27690   0.28113
12352  4  6.3  -0.44541E-01  0.18819E-03  -0.43315E-01  0.22353E-03  -0.86368  0.36719E-02  -0.85881  0.44541E-02  -4.19575  -0.84365
***
12058  5  8.0   0.49041E-01  0.26542E-03   0.48559E-01  0.24131E-03   0.85780  0.46552E-02   0.85498  0.41485E-02   1.34368   0.45226
12059  5  8.0   0.49045E-01  0.27334E-03   0.48551E-01  0.25853E-03   0.85759  0.46875E-02   0.85633  0.45441E-02   1.31301   0.19301
12060  5  8.0   0.48973E-01  0.26703E-03   0.48982E-01  0.24841E-03   0.85631  0.46274E-02   0.85485  0.43274E-02  -0.02468   0.23045
* chain3=12058+12059+12060-->12061
12061  5  8.0   0.48982E-01  0.15527E-03   0.48828E-01  0.13965E-03   0.85553  0.26949E-02   0.85635  0.24535E-02   0.73745  -0.22499
12253  5  8.0   0.46232E-01  0.31843E-03   0.45782E-01  0.31979E-03   0.86792  0.60728E-02   0.87106  0.61779E-02   0.99714  -0.36247
12254  5  8.0   0.46946E-01  0.23608E-03   0.45536E-01  0.21857E-03   0.88624  0.45262E-02   0.87037  0.41429E-02   4.38263   2.58639
* chain4=12253+12254-->12255
12255  5  8.0   0.46548E-01  0.19974E-03   0.45753E-01  0.18659E-03   0.87410  0.37374E-02   0.86887  0.35611E-02   2.90853   1.01311
12371  5  8.0  -0.49120E-01  0.32807E-03  -0.49313E-01  0.29146E-03  -0.85625  0.59919E-02  -0.85639  0.54364E-02   0.43980   0.01731
12372  5  4.0  -0.48430E-01  0.35412E-03  -0.48348E-01  0.31956E-03  -0.87300  0.60246E-02  -0.88315  0.60065E-02  -0.17191   1.19309
12373  5  6.3  -0.49073E-01  0.20961E-03  -0.49136E-01  0.18773E-03  -0.86510  0.36141E-02  -0.86881  0.32924E-02   0.22390   0.75885
